RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
103,123247,Surname102,556,Spain,Male,35,5,216441.73460706964,4,1,0,63038.30662528404,1
104,124300,Surname103,586,France,Female,58,9,125236.06284263458,1,1,0,105124.69165179142,1
105,567281,Surname104,721,Germany,Female,44,4,58094.74315639771,4,0,1,69008.6005222158,0
106,707086,Surname105,740,Spain,Female,28,5,209224.26750421824,4,0,0,179600.3303765969,0
107,633556,Surname106,596,Germany,Male,34,0,43666.736634020235,1,0,1,130267.42627998692,0
108,448951,Surname107,590,Germany,Male,27,8,234653.39689694546,4,0,1,105710.995146055,0
109,374329,Surname108,597,Germany,Female,36,0,76663.38277974322,3,0,0,124773.13788013831,0
110,819064,Surname109,521,Spain,Female,36,3,4690.741759117989,3,0,0,13767.68813737214,0
111,842139,Surname110,548,France,Male,45,2,46691.58043543537,3,1,1,150933.41680653312,0
112,532315,Surname111,550,Germany,Female,45,3,103697.95954185346,3,0,0,73731.73313063965,0
113,616588,Surname112,626,Spain,Male,41,0,13797.325941554833,3,0,1,125557.1647461133,0
114,336584,Surname113,671,Germany,Female,41,9,102380.24439176946,2,1,0,168114.2026584997,1
115,662332,Surname114,684,France,Female,48,3,50720.520597318406,4,1,0,75642.71382215177,0
116,937646,Surname115,609,Germany,Male,35,3,4738.582965698207,1,1,1,17023.020157360384,0
117,476896,Surname116,611,Spain,Male,18,2,74751.61942771405,2,1,0,10184.293843195826,0
118,148984,Surname117,659,Germany,Female,59,7,56576.138652146554,1,1,1,173367.97091772335,1
119,402918,Surname118,530,Germany,Male,28,6,104939.93171759805,4,1,0,113839.99618524213,1
120,364712,Surname119,726,Germany,Female,44,8,189753.83075234827,2,0,0,133585.737717695,0
121,220151,Surname120,752,France,Female,34,1,127443.88750088736,1,0,0,123390.47625549801,0
122,555808,Surname121,599,Germany,Male,51,9,192016.31635419565,3,1,1,42111.33320341946,0
123,233767,Surname122,618,Spain,Female,28,2,84169.80587653164,2,1,0,17266.286410366847,0
124,748663,Surname123,749,Germany,Female,30,5,3296.1483246887747,3,1,0,56208.29867858627,0
125,803550,Surname124,640,Germany,Male,33,1,230543.28482880708,2,0,0,198269.4077624889,0
126,236330,Surname125,697,Germany,Female,43,1,78678.62664443595,4,1,0,89380.2868518624,0
127,580754,Surname126,642,France,Female,40,9,131719.409352881,2,1,0,185764.73426368556,0
128,401648,Surname127,774,Spain,Female,43,1,117303.67427750271,4,1,0,59449.08194659104,0
129,788519,Surname128,689,Germany,Female,39,1,145771.27053797248,2,0,1,145924.23133511617,1
130,113986,Surname129,693,Spain,Male,47,4,221241.02586221835,4,0,1,14948.201800352463,1
131,686146,Surname130,695,Spain,Female,47,0,216811.1256604103,3,1,0,12491.561419223784,0
132,229312,Surname131,605,France,Female,53,6,245257.55668561868,4,0,1,98517.88027956245,1
133,112666,Surname132,612,Spain,Female,41,0,132092.31651124047,3,1,0,133326.5920352068,0
134,400804,Surname133,711,Germany,Female,41,0,230616.048394022,2,1,0,192825.79225248322,1
135,234633,Surname134,660,France,Male,55,4,120612.5588947308,2,1,1,15643.39599827036,1
136,388998,Surname135,555,France,Male,49,6,11100.959809928867,2,0,0,197695.74465560858,0
137,950937,Surname136,799,Spain,Male,43,2,36548.716909783034,2,1,1,99644.20004746932,0
138,728776,Surname137,728,France,Female,24,6,83496.51827942206,3,0,0,155612.93556601714,0
139,807611,Surname138,653,Spain,Female,21,8,181364.41443526352,1,1,1,132794.34378793812,1
140,384806,Surname139,628,Spain,Male,44,10,20342.87560081066,1,0,1,57079.24545009222,1
141,894824,Surname140,665,France,Male,44,3,90387.9935982767,4,0,0,73181.6493154063,1
142,130535,Surname141,691,Germany,Female,30,4,245590.26172772472,2,1,1,122311.49795955005,1
143,475713,Surname142,487,Spain,Male,41,7,196420.09406914396,2,1,0,28310.25370763601,0
144,938688,Surname143,818,France,Female,28,8,142998.9308752666,1,0,0,157196.76095394706,0
145,451279,Surname144,586,France,Female,43,4,15442.563300294643,1,0,1,161920.98745978432,0
146,921654,Surname145,649,Spain,Female,43,4,3654.7281666806653,2,0,0,165920.61501124612,1
147,701661,Surname146,652,Spain,Female,43,1,26312.05896309513,2,1,0,171231.17471905152,0
148,747972,Surname147,809,Spain,Female,41,8,81782.51229334302,1,1,0,140927.38746234926,0
149,589570,Surname148,642,Spain,Female,35,5,151598.336489552,3,0,0,151348.88371463382,0
150,556551,Surname149,777,Germany,Female,35,4,49370.041396662375,2,1,1,121850.95905102185,0
151,373109,Surname150,682,Germany,Female,49,4,12787.76856522068,1,0,0,53067.66151444308,0
152,124538,Surname151,573,Germany,Male,42,3,22712.08076917991,3,0,0,25778.301996821465,1
153,994498,Surname152,660,Germany,Male,42,0,106698.7379602809,1,1,1,43925.42021427637,0
154,301664,Surname153,640,France,Male,38,5,193281.75359836713,2,1,1,46690.25604052309,0
155,591234,Surname154,563,Spain,Male,44,0,205271.88765417915,4,1,1,153999.19523625122,0
156,999684,Surname155,678,France,Female,47,9,72763.10400451292,1,0,1,190072.2128244029,1
157,239182,Surname156,651,France,Male,31,1,165859.54168591363,4,1,0,164743.26272699266,0
158,572525,Surname157,694,Germany,Male,43,6,98177.45267430278,4,0,0,198518.7289188507,1
159,258338,Surname158,665,France,Female,35,0,243128.17587407335,2,0,0,18295.426257741223,0
160,284064,Surname159,597,Germany,Male,41,7,101240.22961746843,3,1,0,16096.427525352745,0
161,314020,Surname160,711,Spain,Male,46,7,98975.90761614527,4,1,0,139874.341929287,0
162,723094,Surname161,600,Germany,Male,23,6,125391.9033364222,3,1,1,14865.370943962796,0
163,997421,Surname162,402,Spain,Male,27,6,6375.632502363088,2,0,1,179238.10966922707,0
164,715270,Surname163,660,Germany,Female,31,0,104482.06995543302,2,1,0,99712.87132849626,0
165,745914,Surname164,605,France,Male,30,2,207177.00358759626,2,0,0,185637.4566387226,1
166,219176,Surname165,680,France,Male,36,8,153020.50367525997,3,0,1,57472.1594625541,0
167,318126,Surname166,809,Germany,Male,54,4,242355.2693465792,1,0,1,132057.56482766662,0
168,318969,Surname167,812,Spain,Male,49,4,81405.72226083795,4,1,0,142820.31125889774,0
169,222409,Surname168,636,Spain,Female,32,6,40381.07188773746,2,1,0,64579.73301126046,0
170,647707,Surname169,583,Germany,Female,46,10,187644.0940438586,4,1,0,79778.87014582413,0
171,353618,Surname170,696,France,Male,37,9,10914.24790077719,3,0,0,114775.71931801326,0
172,869598,Surname171,620,Spain,Female,41,7,39888.96823062476,3,0,0,82892.09116375736,0
173,150015,Surname172,681,Germany,Female,28,5,126737.43274599971,4,0,1,103389.07574679678,1
174,872838,Surname173,597,Spain,Female,24,4,188384.665231873,1,1,1,96641.03916505762,0
175,222096,Surname174,670,France,Female,45,0,150242.49597747644,2,1,1,136538.42048391522,0
176,731347,Surname175,585,Spain,Male,38,9,248723.1420933793,1,0,1,25452.231867952098,1
177,285340,Surname176,744,Germany,Female,43,9,163735.1012877798,4,0,0,191758.5436222022,0
178,210687,Surname177,602,Spain,Male,53,9,181241.83566605346,2,0,0,29540.94285049535,1
179,974371,Surname178,702,Spain,Male,35,8,248478.9990201006,2,0,1,74240.21206138027,0
180,511357,Surname179,548,France,Male,35,5,148115.63154608183,4,0,0,11653.512097086637,0
181,835716,Surname180,712,France,Male,55,2,178654.59083429023,2,0,1,165043.67382844992,0
182,205878,Surname181,572,France,Male,38,9,74581.89703025359,1,1,1,31377.380943578315,0
183,827270,Surname182,670,France,Male,29,6,134188.87932756246,3,0,1,62913.54616804516,0
184,298286,Surname183,731,Germany,Male,45,3,227988.1017589553,3,1,1,95834.78193323498,1
185,873290,Surname184,634,Spain,Male,35,2,213330.48854524625,4,0,0,170355.33639558448,1
186,874684,Surname185,567,Spain,Male,29,6,76571.97880611291,3,0,0,155776.99361576294,1
187,264899,Surname186,689,Spain,Male,38,5,89304.4725014995,3,1,1,38486.09714782023,0
188,424767,Surname187,582,Spain,Female,46,10,211593.40240241287,4,1,0,94866.69567421943,0
189,961882,Surname188,617,Germany,Female,26,3,71168.47788509006,4,1,0,73219.63386691458,0
190,979858,Surname189,671,France,Female,26,9,221904.49206669955,2,1,1,190213.29904439967,0
191,479989,Surname190,758,Spain,Male,37,7,193442.36067759583,4,0,1,172591.24324094455,1
192,515515,Surname191,652,Spain,Male,26,1,38089.120580005074,1,0,1,38580.62183863034,0
193,143585,Surname192,651,France,Male,25,5,179941.24502420245,4,0,1,91630.37891192279,1
194,471369,Surname193,709,France,Male,38,2,208581.72385697797,2,0,1,94489.99154471168,1
195,164044,Surname194,654,Spain,Male,49,7,36085.68804126899,2,1,1,192574.00155942072,0
196,542296,Surname195,700,France,Female,45,10,114337.20124055551,4,0,0,161098.84900960964,0
197,209556,Surname196,736,Spain,Female,36,7,215657.0409200021,1,1,0,163718.47307626228,0
198,626981,Surname197,623,Spain,Male,50,10,49662.501968049946,2,0,1,79940.97759748786,0
199,981691,Surname198,387,Spain,Male,55,10,112272.28612613257,1,0,1,142150.71116493538,0
200,867595,Surname199,584,Spain,Female,42,0,153192.55255306812,2,1,1,70845.40841306103,0
201,300235,Surname200,746,Spain,Female,34,1,24313.08985232386,3,0,0,166661.89207781185,0
202,125939,Surname201,647,Spain,Female,53,3,53013.947044492335,2,0,0,192416.25977657115,1
203,252906,Surname202,622,France,Male,53,0,116682.59417550339,2,1,1,125923.90316393302,1
204,642335,Surname203,743,Germany,Male,40,2,93420.3390086222,2,0,1,110458.95396232753,0
205,388249,Surname204,641,Germany,Male,50,3,81193.99776697694,2,0,1,175773.7998017162,0
206,175766,Surname205,482,Spain,Male,30,9,6591.750429316784,2,0,0,181954.6243596582,0
207,508923,Surname206,529,France,Female,18,2,231983.7428967189,4,1,1,27137.119185637333,0
208,515192,Surname207,683,Spain,Female,28,4,217855.7002807446,4,1,0,142489.32675880595,0
209,668550,Surname208,644,France,Male,40,10,98154.86983556765,1,0,1,129408.10076182165,1
210,487261,Surname209,766,Spain,Female,37,9,45343.736786122245,3,0,1,49932.39187353882,0
211,910208,Surname210,591,Spain,Male,47,6,17261.441811200013,4,0,1,33723.38120521044,0
212,785440,Surname211,625,Germany,Female,23,7,30796.970096672678,3,0,1,64198.67609618091,0
213,752664,Surname212,579,France,Male,23,7,150505.62732092332,1,1,1,42107.09381585212,0
214,554589,Surname213,608,France,Female,45,10,183479.2986936968,1,1,0,56090.56547856897,1
215,237848,Surname214,498,Germany,Female,23,1,39105.494715262204,2,1,1,184346.01827683183,0
216,717075,Surname215,619,Germany,Female,35,0,28197.616897348704,4,0,0,184081.31120151668,0
217,227948,Surname216,645,Germany,Male,38,5,172769.71837390857,2,1,1,58172.66321952158,1
218,679304,Surname217,639,Germany,Female,31,0,129255.58443699269,2,1,0,48402.40979718241,1
219,502690,Surname218,821,France,Male,43,5,92959.17785226865,1,0,0,96363.27755985821,1
220,599046,Surname219,796,France,Male,18,6,181244.76553374607,2,1,0,136154.56967189087,0
221,551269,Surname220,589,Germany,Female,56,8,113919.26534779693,1,0,1,36206.34011942669,0
222,121959,Surname221,486,Spain,Male,34,9,116280.40814612816,4,0,0,165302.33305242728,0
223,760890,Surname222,642,Spain,Male,36,9,3935.3148121198387,4,0,1,23979.65356456377,0
224,850216,Surname223,680,Spain,Male,64,0,79002.30877748768,2,1,1,31537.646734815695,1
225,890180,Surname224,581,Spain,Male,24,6,1258.6590234454632,1,1,0,130915.42754999796,0
226,328576,Surname225,585,France,Female,27,3,230961.82823376972,4,0,1,48800.69281044824,1
227,637833,Surname226,776,France,Male,52,8,73484.7727378754,3,1,0,53521.03722094995,1
228,265838,Surname227,629,France,Female,22,10,45130.02272098471,4,1,0,176509.26797199147,0
229,435674,Surname228,702,Spain,Male,42,3,22724.324314733756,1,0,0,79193.51806697143,1
230,979989,Surname229,575,Germany,Male,31,1,11659.000007597648,2,1,0,185039.93261950038,0
231,161087,Surname230,645,Spain,Male,21,0,221502.278281376,1,1,0,30652.839095278425,0
232,693128,Surname231,623,France,Male,43,6,42128.2109890436,2,0,0,187014.84382211117,0
233,218451,Surname232,595,Spain,Male,43,6,154371.213752069,4,0,1,183796.15099002485,1
234,547600,Surname233,742,Germany,Male,38,2,162804.52729099293,2,1,0,112553.28329209323,1
235,937437,Surname234,538,Germany,Male,58,4,79386.11156635844,2,0,1,154082.6521557706,0
236,539792,Surname235,674,Spain,Male,30,9,208311.54099052737,2,0,0,93060.79409438168,0
237,139353,Surname236,621,France,Male,46,6,53507.564515208636,2,0,1,155482.83906494052,0
238,293075,Surname237,683,France,Female,41,7,17864.491215520833,3,1,1,56179.048890281905,1
239,314283,Surname238,622,France,Female,47,8,17135.485546639185,3,0,0,181597.56219816694,0
240,414877,Surname239,719,Spain,Male,32,9,75106.70673193796,2,0,0,159808.843723739,1
241,165318,Surname240,574,France,Male,24,9,115811.62287897537,1,1,0,149188.82824415882,0
242,865313,Surname241,742,Spain,Male,31,0,157340.80253990876,1,1,0,162922.11371145703,1
243,582690,Surname242,647,France,Female,37,8,182177.07495835825,4,1,0,75520.7812333004,0
244,516880,Surname243,543,Germany,Female,44,5,44672.73754131984,3,1,0,46084.468226467936,1
245,691460,Surname244,704,Germany,Female,38,5,170980.75824596072,4,0,1,77414.8245271485,0
246,840976,Surname245,634,France,Male,40,6,45635.01305820997,4,1,0,17359.243962576686,0
247,881239,Surname246,513,Spain,Male,55,8,249298.25980861124,3,0,1,61343.77705334821,1
248,193264,Surname247,676,France,Female,37,6,239767.0123911126,2,0,1,125387.27731915262,1
249,870746,Surname248,730,Spain,Male,32,6,25601.87249652604,1,1,1,170842.97405669914,0
250,913168,Surname249,752,Germany,Male,42,10,163780.02304561887,4,1,1,186761.77612121077,0
251,325281,Surname250,619,Spain,Female,20,2,225816.7232328488,1,1,1,147213.06985073088,1
252,737147,Surname251,661,France,Male,20,9,20175.607662796803,2,0,0,179451.84940392466,0
253,998613,Surname252,654,Germany,Female,36,8,30995.380232015228,4,0,0,65359.50308341151,0
254,494070,Surname253,769,Spain,Female,28,3,86749.40041708856,1,1,1,138764.7437746807,0
255,452228,Surname254,585,Spain,Male,31,5,23932.125680231868,3,0,0,195585.6963256012,0
256,531839,Surname255,612,Germany,Female,47,6,221398.03811418617,4,0,1,126050.3054827313,0
257,369536,Surname256,583,France,Male,43,8,218886.21088798312,2,1,1,91297.31364787385,0
258,417824,Surname257,534,Germany,Female,37,9,237178.17068893393,4,1,0,59909.81306437587,1
259,357426,Surname258,669,France,Male,38,2,51248.02029696307,4,1,1,69805.91395431032,0
260,277789,Surname259,778,France,Male,33,10,11337.798129388066,1,1,1,48469.43776467087,1
261,613153,Surname260,634,Spain,Male,46,1,111156.99412496644,1,0,1,143547.89418740702,1
262,842452,Surname261,579,France,Male,45,1,220138.32152647528,3,1,0,147559.0429975252,1
263,937291,Surname262,664,France,Female,47,1,159611.69981786946,2,1,0,158113.7020696762,0
264,225657,Surname263,697,Germany,Female,47,8,249579.28578552778,3,0,0,98814.28597936648,0
265,335167,Surname264,637,Germany,Male,38,7,226421.67564166116,1,1,0,36269.4567794273,1
266,781669,Surname265,762,France,Male,31,8,98187.60864324757,2,0,1,90165.9181016866,0
267,580671,Surname266,585,Spain,Male,36,8,9883.268665662164,3,0,1,152226.46767354492,0
268,819094,Surname267,627,Germany,Female,39,0,1292.8260425191518,4,0,0,172600.42615750947,0
269,170467,Surname268,673,Spain,Female,31,9,161051.53722652013,3,0,0,25418.705169221175,1
270,283734,Surname269,681,Germany,Male,54,9,228941.4825254431,2,1,1,56340.81245835951,1
271,722794,Surname270,653,Germany,Female,54,8,111057.54708005166,4,0,1,192773.0274922017,0
272,209751,Surname271,547,France,Male,36,0,218573.01853338024,1,1,0,92074.10445354121,1
273,481050,Surname272,837,Germany,Female,48,4,141685.21868365494,4,0,1,23426.22127984969,0
274,911774,Surname273,631,Germany,Male,43,3,24504.919443555733,2,0,1,48704.38097705494,0
275,792517,Surname274,658,Spain,Male,33,7,199578.84151876433,4,1,1,167239.44870159568,0
276,561079,Surname275,699,Germany,Male,42,4,123148.50843606336,3,0,1,154302.4037010703,0
277,468452,Surname276,599,Germany,Female,30,8,12765.975872415791,3,1,0,51320.47228734254,0
278,206081,Surname277,654,Spain,Male,29,0,203650.89201447807,4,0,1,29297.84277791946,0
279,713333,Surname278,595,France,Female,42,7,189413.56879801984,2,0,1,25084.936267476907,1
280,658986,Surname279,683,France,Female,42,5,114321.8146111355,2,0,0,104935.7083982585,0
281,210078,Surname280,627,Germany,Male,64,0,4866.059205112211,2,0,0,142156.8474050413,0
282,967055,Surname281,671,Germany,Male,36,1,86734.18121900126,2,1,1,71509.77729721245,1
283,122671,Surname282,566,Spain,Male,32,3,108737.70162452193,3,1,0,26378.96384497418,1
284,518400,Surname283,583,France,Female,47,4,41328.72023062228,2,0,0,103480.46144182258,1
285,455528,Surname284,540,France,Female,37,0,40226.20863132467,2,1,0,51603.65569875757,0
286,710490,Surname285,593,France,Female,31,9,41745.202659229624,4,1,0,44375.33475821498,0
287,151663,Surname286,444,Spain,Female,32,6,92644.2701852446,4,0,1,157184.04979055683,0
288,115708,Surname287,625,Spain,Female,36,3,204386.00920642453,3,1,0,124836.52131254588,1
289,978338,Surname288,607,Spain,Female,48,0,189839.36722218042,3,0,1,69868.61968178944,0
290,411955,Surname289,662,Germany,Female,42,5,2528.5991662477304,3,1,0,97504.43059752302,0
291,233883,Surname290,653,France,Male,29,8,2410.6535843705924,2,0,0,52545.38885814565,0
292,418394,Surname291,750,Germany,Male,56,8,19424.108089116544,4,1,0,116716.42265166278,0
293,212547,Surname292,850,Germany,Male,28,10,116645.44654052914,4,0,0,153829.06547367948,1
294,659042,Surname293,741,Spain,Female,30,3,222220.55153639865,2,1,0,91396.08048585012,1
295,851102,Surname294,613,France,Male,49,6,45564.27916427744,1,1,1,82908.81338160651,0
296,862002,Surname295,610,Germany,Female,52,9,119198.96518777417,2,1,1,57835.274552366805,0
297,242483,Surname296,719,France,Female,41,0,10186.869405480387,1,1,0,71459.51482394058,0
298,758271,Surname297,515,Germany,Female,25,9,5081.61247276398,2,0,1,78410.97265818513,0
